feature,type,wasserstein_norm,js_divergence,mean_source,mean_target,prevalence_diff,q25_source,median_source,q75_source,q25_target,median_target,q75_target
D_body_is_https,binary/count,0.08188667851178551,0.0020514886045022605,0.011915,0.00303,-0.008885,0.0,0.0,0.0,0.0,0.0,0.0
D_path_token_ratio,continuous,0.10969126958482144,0.029195036947807992,2.3422262644927203,2.365178438636512,,1.5,2.0,2.6666667461395264,1.600000023841858,2.0,2.75
D_digit_alpha_ratio,continuous,0.1617274660727507,0.010365430916630896,0.1565455343444599,0.11499041002249345,,0.0,0.03125,0.20000000298023224,0.0,0.0,0.13333334028720856
D_subdomain_binary,binary/count,0.5135845785690578,0.05870844926834016,0.596245,0.848235,0.25198999999999994,0.0,1.0,1.0,1.0,1.0,1.0
D_body_scheme_ratio,continuous,0.06475279228602503,0.0,0.0007631528455810621,0.0002294855140708387,,0.0,0.0,0.0,0.0,0.0,0.0
D_host_tld_class,continuous,0.1295930474048709,0.011055937435104198,0.481185,0.526365,,0.0,0.0,1.0,0.0,0.0,1.0
D_path_depth_binary,binary/count,0.023557023583897264,9.990038970577429e-05,0.5404,0.52866,-0.011739999999999973,0.0,1.0,1.0,0.0,1.0,1.0
D_brand_tld_match,binary/count,0.23592595364288776,0.00684211538508634,0.04619,0.09571,0.04952,0.0,0.0,0.0,0.0,0.0,0.0
E_uppercase_ratio,continuous,0.06690233525130894,0.001851121674716531,0.017152281118834507,0.017424788352211763,,0.0,0.0,0.0,0.0,0.0,0.0
E_entropy_self_normalised,continuous,0.11663372560359822,0.0027199458192830764,0.9438599203282595,0.945935982221365,,0.9355912804603577,0.9467122554779053,0.9559090733528137,0.9377841651439667,0.9481924772262573,0.9569559693336487
E_path_host_len_ratio,continuous,0.1235688806653532,0.03801103913762628,1.5087417228256166,1.60812548245308,,0.38461539149284363,0.9444444179534912,2.0,0.1111111119389534,1.0,2.3333332538604736
E_path_segment_len_cv,continuous,0.1395901311631829,0.010553932838417665,0.27902077078170145,0.32381040066294836,,0.0,0.125,0.5032972693443298,0.0,0.1111111119389534,0.5930572748184204
E_digit_position_rank,continuous,0.18081469651401244,0.014642673591924052,0.35082607250258324,0.2926274766642228,,0.0,0.34045085310935974,0.6808029264211655,0.0,0.0,0.6236577183008194
E_digit_density,continuous,0.21041000614159333,0.012646351618746074,0.08325100389656843,0.05845377097787801,,0.0,0.023255813866853714,0.12820513546466827,0.0,0.0,0.08988764137029648
E_repeated_delimiter_run,continuous,0.2116229825396728,0.0,0.00717,0.025025,,0.0,0.0,0.0,0.0,0.0,0.0
