feature,type,wasserstein_norm,js_divergence,mean_source,mean_target,prevalence_diff,q25_source,median_source,q75_source,q25_target,median_target,q75_target
E2_gzip_ratio_body,continuous,0.12678578065822885,0.010136803965867452,1.1380757212106885,1.1591651137031056,,1.0129870176315308,1.1538461446762085,1.2580645084381104,1.0499999523162842,1.1612902879714966,1.2666666507720947
E2_bigram_entropy_norm,continuous,0.10709714488573549,0.005038316898252681,0.9624873560014368,0.9665374687274545,,0.9525123238563538,0.971814751625061,0.9851418137550354,0.9535973072052002,0.9726850390434265,0.9869774580001831
E2_unique_char_ratio,continuous,0.12184089205385067,0.007641998802898154,0.4791904104078561,0.4982589436661487,,0.37288135290145874,0.4749999940395355,0.5862069129943848,0.3888888955116272,0.5,0.5909090638160706
E2_repeated_bigram_ratio,continuous,0.11330376373164543,0.004744127270890958,0.10132899134728825,0.08949798074753257,,0.03846153989434242,0.07500000298023224,0.13131313025951385,0.03333333507180214,0.07228915393352509,0.125
E2_longest_token_rel_pos,continuous,0.0407602141644487,0.0024231150041690622,0.4129175975479884,0.42299039567263796,,0.20000000298023224,0.3484848439693451,0.6260504126548767,0.21212121844291687,0.3571428656578064,0.6376811861991882
E2_longest_token_share,continuous,0.1333782606836629,0.009253970362234028,0.37477734753927683,0.35581684580597095,,0.2549019753932953,0.3499999940395355,0.4736842215061188,0.22641509771347046,0.3181818127632141,0.4583333432674408
E2_first_digit_rel_pos,continuous,0.2133356959836047,0.01146717070628803,0.68988945275159,0.7654052607591383,,0.3529411852359772,0.8857142925262451,1.0,0.5102040767669678,1.0,1.0
E2_last_slash_rel_pos,continuous,0.0715252115304628,0.010345606279476142,0.7679274296210805,0.7731809441204462,,0.6136363744735718,0.8571428656578064,0.9696969985961914,0.6315789222717285,0.843137264251709,0.9642857313156128
E2_vowel_ratio_alpha,continuous,0.11780381989870994,0.0035655144405657146,0.33811564275551587,0.3464789302475937,,0.30000001192092896,0.34285715222358704,0.38297873735427856,0.3050847351551056,0.3499999940395355,0.3913043439388275
E2_max_consonant_run_rel,continuous,0.08620835763210724,0.0036025020905890003,0.10974114654817385,0.11553053686132364,,0.06557376682758331,0.09375,0.13636364042758942,0.06818182021379471,0.09677419066429138,0.1388888955116272
E2_char_class_transition_rate,continuous,0.12239742616521014,0.005872139737824799,0.2979853488709219,0.28788637066677214,,0.24137930572032928,0.2916666567325592,0.3461538553237915,0.2380952388048172,0.28125,0.3291139304637909
E2_token_len_cv,continuous,0.27958942388057645,0.025274111995459193,0.6858516505561583,0.5926828050071933,,0.4773757755756378,0.6019090712070465,0.8124038577079773,0.44031527638435364,0.5345224738121033,0.6732660531997681
E2_host_label_len_cv,continuous,0.22911683951186615,0.018327104164841845,0.6072617545664311,0.5583144326897151,,0.4738035500049591,0.6000000238418579,0.7307704091072083,0.3997040390968323,0.5656854510307312,0.7071067690849304
E2_mixed_alnum_token_share,continuous,0.1747623113489132,0.01843685484244152,0.08412910117330495,0.06219093588563148,,0.0,0.0,0.1428571492433548,0.0,0.0,0.0833333358168602
E2_symbol_diversity,continuous,0.07867146298288799,0.014880037392804956,0.49805543484737164,0.5006455059595499,,0.3636363744735718,0.5,0.6000000238418579,0.3333333432674408,0.5,0.6666666865348816
E2_digit_run_rel,continuous,0.27042491573001587,0.028981396581543126,0.03895234860076918,0.04478387054302184,,0.0,0.017543859779834747,0.06254664249718189,0.0,0.0,0.0602409653365612
E2_token_density,continuous,0.2081471898552598,0.021836700308376575,0.145225353393658,0.15196248654477998,,0.11739130318164825,0.1428571492433548,0.17073170840740204,0.1304347813129425,0.1515151560306549,0.17241379618644714
E2_last_host_dot_rel_pos,continuous,0.1300224284448304,0.01716097382216383,0.7927349249068648,0.7850264942854643,,0.75,0.800000011920929,0.8518518805503845,0.7333333492279053,0.7894737124443054,0.8571428656578064
E2_subdomain_char_share,continuous,0.30501750941202993,0.061650662157827225,0.23954914333082736,0.31359582481049003,,0.0,0.1666666716337204,0.4444444477558136,0.15000000596046448,0.25,0.52173912525177
E2_path_query_char_share,continuous,0.16572301755227362,0.0421657468788233,0.5018810824659141,0.458197623739274,,0.3125,0.5357142686843872,0.717391312122345,0.1071428582072258,0.5277777910232544,0.71875
