ngram,mean_abs_shap,coef
m/,0.172187,14.1855
om/,0.158179,12.9151
com/,0.152792,12.4746
.com/,0.15082,12.2987
b,0.119336,8.0171
-,0.107231,-6.679
v,0.103289,7.6028
f,0.102447,6.6594
ww,0.09699,-4.0222
x,0.096799,7.2487
2,0.092132,5.5871
3,0.090825,6.158
k,0.090712,5.8858
/a,0.089473,7.6257
0,0.084022,4.8255
s://w,0.083737,-7.0102
hp,0.080425,8.648
.php,0.077544,8.51
php,0.07714,8.4487
n/,0.076446,8.0065
www.,0.07624,-5.3213
.ph,0.074258,8.0287
5,0.073068,5.0245
e/,0.069325,5.9303
ww.,0.0684,-4.7753
_,0.063689,-7.7825
.,0.062781,-8.8267
en,0.061068,-4.8038
://w,0.060709,-4.2259
9,0.060558,4.1943
/i,0.060524,6.637
8,0.059973,4.2375
/m,0.056942,6.1763
pp,0.056672,6.7192
t,0.056162,-7.8758
//w,0.056046,-3.9017
w.,0.055565,-3.8077
d,0.053703,4.105
s://,0.053498,-4.458
ps://,0.053389,-4.4489
