model,accuracy,precision,recall,f1,mcc,balanced_acc,roc_auc,pr_auc
LogReg(C=4.0),0.976429,0.983076,0.9695,0.97624,0.952948,0.976422,0.996856,0.997206
LogReg(C=1.0),0.971846,0.981589,0.961671,0.971528,0.943885,0.971835,0.995874,0.996325
LinearSVM-SGD(alpha=1e-05),0.971752,0.985528,0.957506,0.971315,0.943883,0.971737,0.99541,0.995974
LogReg(C=0.25),0.963791,0.977649,0.949208,0.963218,0.927971,0.963776,0.993535,0.994269
LinearSVM-SGD(alpha=0.0001),0.950934,0.981089,0.91949,0.949291,0.903641,0.950901,0.990045,0.991377
MultinomialNB(alpha=0.05),0.943317,0.979116,0.905837,0.941052,0.889113,0.943278,0.988833,0.989895
MultinomialNB(alpha=0.25),0.941471,0.979162,0.902017,0.939008,0.88568,0.94143,0.988565,0.989652
MultinomialNB(alpha=1.0),0.938593,0.979458,0.895848,0.935789,0.880382,0.938549,0.98808,0.989221
HistGB(lexical),0.909344,0.935575,0.879032,0.906423,0.820173,0.909313,0.969691,0.974058
MLP(lexical),0.908593,0.929055,0.884543,0.906253,0.818115,0.908568,0.968653,0.972948
LinearSVM-SGD(alpha=0.001),0.905512,0.969876,0.83682,0.898448,0.818724,0.905441,0.974407,0.977625
LexicalRule,0.629587,0.981784,0.263293,0.41523,0.379358,0.629209,0.723998,0.710185
MajorityClass,0.500516,0.0,0.0,0.0,0.0,0.5,,
