feature,type,wasserstein_norm,js_divergence,mean_source,mean_target,prevalence_diff,q25_source,median_source,q75_source,q25_target,median_target,q75_target,revision,verdict
D_body_is_https,binary/count,0.08188667851178551,0.0020514886045022605,0.011915,0.00303,-0.008885,0.0,0.0,0.0,0.0,0.0,0.0,5,PASS
D_host_entropy_ratio,continuous,0.17007455541220187,0.0144900644923871,0.8250892151163518,0.8146640020370484,,0.7827510386705399,0.8194134831428528,0.8617186546325684,0.7699741721153259,0.8101688027381897,0.8506077527999878,5,WARN (kept; plan replaces only above 0.25)
D_path_token_ratio,continuous,0.10969126958482144,0.029195036947807992,2.3422262644927203,2.365178438636512,,1.5,2.0,2.6666667461395264,1.600000023841858,2.0,2.75,5,PASS
D_digit_alpha_ratio,continuous,0.1617274660727507,0.010365430916630896,0.1565455343444599,0.11499041002249345,,0.0,0.03125,0.20000000298023224,0.0,0.0,0.13333334028720856,5,WARN (kept; plan replaces only above 0.25)
D_subdomain_binary,binary/count,0.5135845785690578,0.05870844926834016,0.596245,0.848235,0.25198999999999994,0.0,1.0,1.0,1.0,1.0,1.0,5,REPLACE with binary version
D_has_port_binary,binary/count,0.024083583982504025,0.00018625065591802289,0.000945,0.000205,-0.00074,0.0,0.0,0.0,0.0,0.0,0.0,5,PASS
D_query_present,binary/count,0.3342336938414901,0.03358093982825606,0.151655,0.03177,-0.11988500000000002,0.0,0.0,0.0,0.0,0.0,0.0,5,REPLACE with binary version
D_body_scheme_ratio,continuous,0.06475279228602503,0.0,0.0007631528455810621,0.0002294855140708387,,0.0,0.0,0.0,0.0,0.0,0.0,6,PASS
D_host_tld_class,continuous,0.1295930474048709,0.011055937435104198,0.481185,0.526365,,0.0,0.0,1.0,0.0,0.0,1.0,6,PASS
D_path_depth_binary,binary/count,0.023557023583897264,9.990038970577429e-05,0.5404,0.52866,-0.011739999999999973,0.0,1.0,1.0,0.0,1.0,1.0,6,PASS
D_has_query_binary,binary/count,0.3342336938414901,0.03358093982825606,0.151655,0.03177,-0.11988500000000002,0.0,0.0,0.0,0.0,0.0,0.0,6,REPLACE with binary version
D_host_entropy_norm_z,continuous,0.10704619211377815,0.014919772113532157,-0.0005505731065926374,-0.10768018507755972,,-0.6358806490898132,0.001654786174185574,0.608839750289917,-0.8097701072692871,-0.11216079443693161,0.586316704750061,6,PASS
D_path_token_density,continuous,0.19122461863758136,0.03303068152117226,0.9216512110753916,1.1869889592392737,,0.22580644488334656,0.3333333432674408,0.625,0.21875,0.3076923191547394,1.5,6,WARN (kept; plan replaces only above 0.25)
D_digit_run_max,continuous,0.153850034035146,0.011511304923744158,2.61689,2.304375,,0.0,1.0,4.0,0.0,0.0,4.0,6,WARN (kept; plan replaces only above 0.25)
D_brand_tld_match,binary/count,0.23592595364288776,0.00684211538508634,0.04619,0.09571,0.04952,0.0,0.0,0.0,0.0,0.0,0.0,6,WARN (kept; plan replaces only above 0.25)
