source,feature_set,model,population,n_train,n_eval,n,n_phishing,threshold,accuracy,precision,recall,specificity,f1,mcc,roc_auc,pr_auc,brier,ece,tp,fp,tn,fn
GramBeddings,F48,LogisticRegression,gram_in_domain,60000,40000,40000,19908,0.3534645944627937,0.8424,0.8923174529934248,0.777124773960217,0.9070774437587099,0.8307469258443859,0.6903371756577577,0.9238571375670309,0.931321021425522,0.12259858068102535,0.03793059844551013,15471,1867,18225,4437
GramBeddings,F48,LogisticRegression,gram->phresh_strict_external,60000,40000,40000,19870,0.3534645944627937,0.652275,0.7529921059332824,0.44645193759436336,0.8554396423248882,0.5605510094467789,0.3311386954285158,0.7644632173209318,0.7603633847712328,0.2682623890265239,0.23691847210008807,8871,2910,17220,10999
GramBeddings,F48,RandomForest,gram_in_domain,60000,40000,40000,19908,0.3842435567568479,0.843925,0.9066238171755043,0.7652200120554551,0.9219092175990444,0.8299419792432786,0.6960725366685183,0.9298462667970054,0.9353653470580885,0.12512150905472944,0.03158075213425858,15234,1569,18523,4674
GramBeddings,F48,RandomForest,gram->phresh_strict_external,60000,40000,40000,19870,0.3842435567568479,0.634775,0.7082574618003326,0.4502264720684449,0.8169398907103825,0.5505061382726686,0.28737849537685745,0.6751019343067245,0.6907624368502998,0.2678811065858007,0.18026281010976944,8946,3685,16445,10924
GramBeddings,F48,LightGBM,gram_in_domain,60000,40000,40000,19908,0.3593141791238386,0.88355,0.9136827256944444,0.8459413301185453,0.9208142544296237,0.8785080855503391,0.7691148207973078,0.9567868206091241,0.9604481786961562,0.08968530813108536,0.02668222789662269,16841,1591,18501,3067
GramBeddings,F48,LightGBM,gram->phresh_strict_external,60000,40000,40000,19870,0.3593141791238386,0.65165,0.7537185843733971,0.4437342727730247,0.8568802781917536,0.5586036492650786,0.33042009181718984,0.6969052379963053,0.7375068076397039,0.28768719708310936,0.24984666740311007,8817,2881,17249,11053
GramBeddings,F48,XGBoost,gram_in_domain,60000,40000,40000,19908,0.3332357582449914,0.884775,0.9094802205449387,0.8534257584890497,0.9158371491140752,0.8805618181347016,0.7709331450048007,0.9565443442283239,0.9602887999922065,0.09043466230832463,0.024904701711889188,16990,1691,18401,2918
GramBeddings,F48,XGBoost,gram->phresh_strict_external,60000,40000,40000,19870,0.3332357582449914,0.64455,0.7453125,0.43210870659285355,0.85424739195231,0.5470532016565786,0.31617754698012807,0.6801691421462557,0.7242743364111183,0.29691526114771316,0.2639493950764449,8586,2934,17196,11284
GramBeddings,F68RV2,LogisticRegression,gram_in_domain,60000,40000,40000,19908,0.32504273502328174,0.861625,0.884736870282135,0.8301185453084188,0.8928429225562413,0.8565579081037655,0.7245359775939637,0.9365904457538321,0.9420042503028353,0.10932470762021648,0.024284320872187303,16526,2153,17939,3382
GramBeddings,F68RV2,LogisticRegression,gram->phresh_strict_external,60000,40000,40000,19870,0.32504273502328174,0.690175,0.7866728011655548,0.5163059889280323,0.8617983109786388,0.6234389717723557,0.4032971012695283,0.8197193943944132,0.8033152758178512,0.24204427029839912,0.2091722001257646,10259,2782,17348,9611
GramBeddings,F68RV2,RandomForest,gram_in_domain,60000,40000,40000,19908,0.3362376383490022,0.868775,0.893868558224515,0.8355435001004621,0.9017021700179175,0.8637225121374977,0.7390274494940811,0.9440199904629982,0.9472336539066424,0.11224186350182358,0.028270381615532515,16634,1975,18117,3274
GramBeddings,F68RV2,RandomForest,gram->phresh_strict_external,60000,40000,40000,19870,0.3362376383490022,0.626625,0.6874857533622065,0.45535983895319576,0.7956780923994039,0.5478489903424056,0.2671360861554272,0.6804322457623835,0.6876267789586752,0.2731824080242131,0.1915901005360326,9048,4113,16017,10822
GramBeddings,F68RV2,LightGBM,gram_in_domain,60000,40000,40000,19908,0.3312860957576515,0.8968,0.9166226634280283,0.8719610206951979,0.9214115070674895,0.8937342326108222,0.7944849934075116,0.964356754538926,0.966891603177203,0.08150130794196941,0.022776911471519633,17359,1579,18513,2549
GramBeddings,F68RV2,LightGBM,gram->phresh_strict_external,60000,40000,40000,19870,0.3312860957576515,0.66075,0.7631578947368421,0.45973829894313034,0.8591654247391952,0.5738065326633166,0.3481944041206461,0.7181155516320564,0.7476302695428294,0.28626680157162226,0.24764022626519158,9135,2835,17295,10735
GramBeddings,F68RV2,XGBoost,gram_in_domain,60000,40000,40000,19908,0.3292985647916796,0.89725,0.9191340337472143,0.8701024713682941,0.9241489149910412,0.8939464313361202,0.7955684262540129,0.9640463679711463,0.9669268896141296,0.08190838852942178,0.021957284427952823,17322,1524,18568,2586
GramBeddings,F68RV2,XGBoost,gram->phresh_strict_external,60000,40000,40000,19870,0.3292985647916796,0.65165,0.7513124470787468,0.4465525918470055,0.8540983606557377,0.5601641414141414,0.3295421101951119,0.7059220864581529,0.7411506387937068,0.28789017197669936,0.25345061054275175,8873,2937,17193,10997
GramBeddings,char TF-IDF,CharTFIDF+LR,gram_in_domain,60000,40000,40000,19908,0.29889130353927595,0.9329,0.9342476805163372,0.9306811332127788,0.9350985466852478,0.9324609964771011,0.8658010659010026,0.9809899152466066,0.9833537997958799,0.060967778872973166,0.03031037163594046,18528,1304,18788,1380
GramBeddings,char TF-IDF,CharTFIDF+LR,gram->phresh_strict_external,60000,40000,40000,19870,0.29889130353927595,0.668375,0.758958676389869,0.4871162556618017,0.8472925981122702,0.593385035097937,0.3587839959771055,0.7637891775927533,0.7387112622705083,0.27061747079026055,0.22197041897759623,9679,3074,17056,10191
PhreshPhish,F48,LogisticRegression,phresh_in_domain,60000,40000,40000,18207,0.5265353487956559,0.8505,0.8543441720280531,0.809578733454166,0.8846877437709356,0.8313592780597857,0.6980869611576581,0.9213145730849187,0.9233109168402506,0.10941598399841909,0.03125107600200035,14740,2513,19280,3467
PhreshPhish,F48,LogisticRegression,phresh->gram_strict_external,60000,40000,40000,20194,0.5265353487956559,0.62065,0.6033261979252429,0.7257601267703279,0.5134807634050288,0.6589039248302837,0.24493615187293324,0.6842582406078588,0.7015332888305976,0.28828705071325356,0.2306608038027504,14656,9636,10170,5538
PhreshPhish,F48,RandomForest,phresh_in_domain,60000,40000,40000,18207,0.5948010428913165,0.88335,0.9276195288321859,0.8066677651452738,0.9474143073463956,0.8629259694477086,0.7678976607988722,0.9576997388695123,0.9509768936383259,0.08079819251665567,0.03216417245322654,14687,1146,20647,3520
PhreshPhish,F48,RandomForest,phresh->gram_strict_external,60000,40000,40000,20194,0.5948010428913165,0.6158,0.6678258450410349,0.4754877686441517,0.7588609512269009,0.555478421844267,0.24418354576097812,0.6993336490530394,0.6663518323179554,0.23551000655349905,0.11412489826151843,9602,4776,15030,10592
PhreshPhish,F48,LightGBM,phresh_in_domain,60000,40000,40000,18207,0.5,0.91745,0.9341683658607631,0.8807052232657769,0.9481484880466204,0.9066493271514192,0.833936879273335,0.9733606323891894,0.9736613018058956,0.0621226091364082,0.02621225982929994,16035,1130,20663,2172
PhreshPhish,F48,LightGBM,phresh->gram_strict_external,60000,40000,40000,20194,0.5,0.6804,0.6606678230702515,0.7544320095077746,0.6049177017065536,0.7044435196744809,0.3636139269777556,0.7254656765655081,0.6904241536074623,0.2529130344213285,0.19276412503931856,15235,7825,11981,4959
PhreshPhish,F48,XGBoost,phresh_in_domain,60000,40000,40000,18207,0.48756068140268344,0.915975,0.9314192723468557,0.8802109078925688,0.9458541733584178,0.905091350633948,0.8308865687831873,0.9715981911833188,0.9720038859389072,0.06376362999187403,0.02463039977554682,16026,1180,20613,2181
PhreshPhish,F48,XGBoost,phresh->gram_strict_external,60000,40000,40000,20194,0.48756068140268344,0.681475,0.6641413029115095,0.7466574229969298,0.61501565182268,0.7029862228127841,0.3650049250144374,0.7212198720777638,0.6771525171674991,0.24991731190422178,0.18065355241524775,15078,7625,12181,5116
PhreshPhish,F68RV2,LogisticRegression,phresh_in_domain,60000,40000,40000,18207,0.6420452340398803,0.903225,0.9126655152561889,0.8707090679409019,0.9303904923599321,0.8911937487702729,0.8048630919317448,0.9611082509990401,0.9631239811685732,0.07391306774501451,0.022932065620044798,15853,1517,20276,2354
PhreshPhish,F68RV2,LogisticRegression,phresh->gram_strict_external,60000,40000,40000,20194,0.6420452340398803,0.65525,0.6494585511575803,0.6890165395662078,0.6208219731394526,0.6686529866884521,0.3106122514447865,0.7136032591806563,0.7117291021700698,0.2710956577711597,0.2145392833337872,13914,7510,12296,6280
PhreshPhish,F68RV2,RandomForest,phresh_in_domain,60000,40000,40000,18207,0.5127927313953595,0.8944,0.9327762302692665,0.8276487065414401,0.9501674849722388,0.8770735114370526,0.7894098488102872,0.9639702935859109,0.9611123771357732,0.07486774458776976,0.025409148763412027,15069,1086,20707,3138
PhreshPhish,F68RV2,RandomForest,phresh->gram_strict_external,60000,40000,40000,20194,0.5127927313953595,0.6216,0.666622743444459,0.5010399128453996,0.7445218620620014,0.5720909193712541,0.25301406676109534,0.707199067860295,0.6358860290111829,0.2434004974875987,0.14996691037861604,10118,5060,14746,10076
PhreshPhish,F68RV2,LightGBM,phresh_in_domain,60000,40000,40000,18207,0.4753177049660317,0.925625,0.9399768919699596,0.8936672708299006,0.9523241407791493,0.9162372948165667,0.8503111575639019,0.9743527133655261,0.9752435422472345,0.05877153909119511,0.028292714214531584,16271,1039,20754,1936
PhreshPhish,F68RV2,LightGBM,phresh->gram_strict_external,60000,40000,40000,20194,0.4753177049660317,0.6959,0.6644278810713408,0.8034069525601664,0.5862869837423003,0.7273379359813503,0.39954579725735306,0.7427263918762116,0.6994427429420184,0.23943241272709556,0.18057999665132696,16224,8194,11612,3970
PhreshPhish,F68RV2,XGBoost,phresh_in_domain,60000,40000,40000,18207,0.46924646064639103,0.92355,0.9380095992598161,0.8909210743120778,0.9508098930849356,0.9138591549295775,0.8461277917518338,0.9738676170873138,0.9747511084806866,0.05930202731818147,0.025482068410033802,16221,1072,20721,1986
