,mean,std,min,max
url_len,66.299,58.571,9.0,4316.0
host_len,20.554,9.878,4.0,249.0
path_len,26.537,29.261,0.0,1681.0
query_len,11.53,45.546,0.0,4285.0
n_dots,2.369,1.666,0.0,120.0
n_hyphens,1.045,1.888,0.0,62.0
n_underscores,0.2,0.928,0.0,111.0
n_slashes,4.612,2.092,0.0,67.0
n_colons,1.012,0.176,0.0,33.0
n_question,0.151,0.388,0.0,23.0
n_equal,0.354,1.106,0.0,36.0
n_amp,0.187,0.892,0.0,72.0
n_percent,0.195,2.748,0.0,600.0
n_at,0.016,0.187,0.0,21.0
n_digits,8.418,24.153,0.0,1571.0
digit_ratio,0.073,0.112,0.0,0.969
n_special,10.253,6.584,1.0,784.0
special_ratio,0.177,0.046,0.005,0.813
https,0.53,0.499,0.0,1.0
has_ip,0.011,0.106,0.0,1.0
n_subdomains,1.506,0.848,0.0,19.0
has_port,0.0,0.0,0.0,0.0
has_fragment,0.018,0.133,0.0,1.0
n_query_params,0.496,1.858,0.0,78.0
n_path_seg,2.574,2.001,0.0,65.0
n_susp_tokens,0.499,1.067,0.0,34.0
susp_token_ratio,0.053,0.108,0.0,1.4
tld_suspicious,0.047,0.211,0.0,1.0
char_entropy,4.278,0.396,2.022,6.036
max_token_len,17.718,24.85,3.0,2083.0
n_unique_chars,24.354,8.567,6.0,77.0
