feature,type,wasserstein_norm,js_divergence,mean_source,mean_target,prevalence_diff,q25_source,median_source,q75_source,q25_target,median_target,q75_target,group
R_is_https,binary/count,0.8289296309818226,0.1754195074622018,0.528095,0.941905,0.41381,0.0,1.0,1.0,1.0,1.0,1.0,protocol_port
R_subdomain_density,continuous,0.5144188547085048,0.08375731562279098,0.21971392599508166,0.2873060237259418,,0.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,host
D_subdomain_binary,binary/count,0.5117050852731624,0.05835437071606391,0.598,0.84889,0.25089000000000006,0.0,1.0,1.0,1.0,1.0,1.0,domain_invariant
R_has_scheme,binary/count,0.47579959623968787,0.0035873526908336935,0.99968,0.99117,-0.008510000000000018,1.0,1.0,1.0,1.0,1.0,1.0,protocol_port
R_body_hyphen_count,continuous,0.43757301730481996,0.02604663818456183,1.085565,1.93069,,0.0,0.0,1.0,0.0,1.0,3.0,delimiters
R_subdomain_depth,continuous,0.43732279730782814,0.08162989988790328,0.775025,0.89758,,0.0,1.0,1.0,1.0,1.0,1.0,host
R_host_label_count,continuous,0.3957787524337512,0.06833134408656316,2.872305,2.94383,,2.0,3.0,3.0,3.0,3.0,3.0,host
D_has_query_binary,binary/count,0.33224352450954003,0.033150744992476985,0.15057,0.03175,-0.11882000000000001,0.0,0.0,0.0,0.0,0.0,0.0,other
D_query_present,binary/count,0.33224352450954003,0.033150744992476985,0.15057,0.03175,-0.11882000000000001,0.0,0.0,0.0,0.0,0.0,0.0,domain_invariant
R_query_ratio,continuous,0.32423376888512506,0.03155682873408335,0.07392684567173012,0.01101025709149486,,0.0,0.0,0.0,0.0,0.0,0.0,delimiters
R_body_dot_count,continuous,0.30802767348199844,0.062146292388504956,2.462375,2.132365,,2.0,2.0,3.0,2.0,2.0,2.0,delimiters
R_host_token_length_variance,continuous,0.2644125006295252,0.026184721299755846,19.380412857848032,18.104525064979345,,4.25,10.88888931274414,24.66666603088379,2.6875,7.1875,16.5,host
R_query_length,continuous,0.23329822204380926,0.019498652443118745,12.630435,1.728045,,0.0,0.0,0.0,0.0,0.0,0.0,length
D_brand_tld_match,binary/count,0.2293540786152344,0.006533513578164037,0.046725,0.09513,0.048405000000000004,0.0,0.0,0.0,0.0,0.0,0.0,other
R_auth_token_count,continuous,0.22698799701535316,0.013777024418522433,0.20536,0.071555,,0.0,0.0,0.0,0.0,0.0,0.0,semantic
R_longest_host_token,continuous,0.2258733024326128,0.017626254748056593,11.015095,10.17927,,7.0,10.0,13.0,7.0,9.0,12.0,host
R_query_param_count,continuous,0.2220652249809727,0.033158736572190775,0.368365,0.09166,,0.0,0.0,0.0,0.0,0.0,0.0,delimiters
R_hex_like_ratio,continuous,0.21981291544020096,0.013328746458861136,0.0682843155513145,0.03253522389151622,,0.0,0.0,0.0,0.0,0.0,0.0,character
R_path_ratio,continuous,0.21796136884783895,0.046192597386339546,0.42796680271664633,0.44734288377209597,,0.22727273404598236,0.43939393758773804,0.6399999856948853,0.10000000149011612,0.5161290168762207,0.7049180269241333,path
R_body_digit_count,continuous,0.21151934774335776,0.031575557147363764,9.78051,4.37819,,0.0,1.0,8.0,0.0,0.0,6.0,character
R_body_avg_token_length,continuous,0.20995191570555985,0.020394048179837223,6.713677559930682,6.1116175571006535,,5.0,6.0,7.599999904632568,4.833333492279053,5.666666507720947,6.75,tokens
R_path_segment_count,continuous,0.20949786037985899,0.016294983211923485,2.652225,2.240055,,1.0,2.0,3.0,1.0,2.0,3.0,path
R_path_slash_count,continuous,0.20949786037985899,0.016294983211923485,2.652225,2.240055,,1.0,2.0,3.0,1.0,2.0,3.0,path
R_body_length,continuous,0.19951619558906342,0.017296582937247056,62.47661,50.798675,,30.0,44.0,72.0,29.0,42.0,62.0,length
D_path_token_density,continuous,0.194121357859451,0.03336906637717297,0.9170288971151598,1.1820621388424921,,0.22580644488334656,0.3333333432674408,0.625,0.21875,0.3076923191547394,1.399999976158142,other
R_body_digit_ratio,continuous,0.18957874334210545,0.010477830911046475,0.09282601576230372,0.06845783602044801,,0.0,0.027027027681469917,0.14814814925193787,0.0,0.0,0.10526315867900848,character
R_host_ratio,continuous,0.1826573685962088,0.04310227355227915,0.492056054626191,0.5403601564849377,,0.2777777910232544,0.4545454680919647,0.6818181872367859,0.28070175647735596,0.47058823704719543,0.8928571343421936,host
R_body_entropy,continuous,0.1750154825662143,0.021178323215138066,4.192519140508771,4.132108013668656,,3.884155035018921,4.154808282852173,4.512907385826111,3.8833374977111816,4.107969760894775,4.34507417678833,character
R_suspicious_token_count,continuous,0.16986259397628597,0.00432987262174757,0.192485,0.103165,,0.0,0.0,0.0,0.0,0.0,0.0,semantic
D_host_entropy_ratio,continuous,0.16401623288172468,0.014256968633449737,0.8247542299236357,0.8147858318024874,,0.7823522686958313,0.8186278343200684,0.8617186546325684,0.7700550556182861,0.8101688027381897,0.8506077527999878,domain_invariant
R_path_depth,continuous,0.16351871882391888,0.013940244200736205,2.225575,1.872215,,1.0,2.0,3.0,1.0,2.0,3.0,path
R_body_alphabet_ratio,continuous,0.1627628709018089,0.0072304965883700665,0.7727303501933813,0.7924435059339181,,0.7096773982048035,0.8148148059844971,0.8620689511299133,0.7540983557701111,0.8297872543334961,0.8666666746139526,character
D_digit_alpha_ratio,continuous,0.15894038741363858,0.010609613464238565,0.15690872629269376,0.11473550148986746,,0.0,0.03125,0.20000000298023224,0.0,0.0,0.13333334028720856,domain_invariant
D_digit_run_max,continuous,0.1515478419175351,0.011550000726902928,2.625335,2.312515,,0.0,1.0,4.0,0.0,0.0,4.0,other
