model,accuracy,precision,recall,f1,mcc,balanced_acc,roc_auc,pr_auc
LogReg(C=4.0),0.974797,0.982483,0.966814,0.974586,0.949715,0.974794,0.996374,0.996812
LogReg(C=1.0),0.970139,0.981143,0.958683,0.969783,0.940525,0.970135,0.995327,0.995889
LinearSVM-SGD(alpha=1e-05),0.969508,0.984097,0.954418,0.96903,0.939442,0.969503,0.994765,0.995473
LogReg(C=0.25),0.961943,0.977316,0.945811,0.961305,0.924365,0.961937,0.992888,0.993772
LinearSVM-SGD(alpha=0.0001),0.950276,0.980574,0.918717,0.948638,0.902346,0.950265,0.989218,0.99078
MultinomialNB(alpha=0.05),0.942773,0.979166,0.904757,0.940492,0.88811,0.94276,0.987992,0.989332
MultinomialNB(alpha=0.25),0.941392,0.97952,0.901592,0.938942,0.885585,0.941377,0.987713,0.98907
MultinomialNB(alpha=1.0),0.938534,0.979746,0.895538,0.935751,0.88032,0.938519,0.987216,0.988622
HistGB(lexical),0.907367,0.934893,0.875649,0.904302,0.81637,0.907356,0.969333,0.973633
MLP(lexical),0.906548,0.928202,0.88119,0.904086,0.814137,0.906539,0.96808,0.972358
LinearSVM-SGD(alpha=0.001),0.904591,0.969595,0.835308,0.897456,0.817042,0.904566,0.973473,0.976985
