run,model,config_id,params,n_estimators,tune_roc_auc
gram|F48,LogisticRegression,0,"{""C"": 0.1}",,0.9301901549767401
gram|F48,LogisticRegression,1,"{""C"": 1.0}",,0.930594243143983
gram|F48,LogisticRegression,2,"{""C"": 10.0}",,0.9306409485011556
gram|F48,RandomForest,0,"{""max_depth"": 10, ""min_samples_leaf"": 10}",,0.9230444396297887
gram|F48,RandomForest,1,"{""max_depth"": 12, ""min_samples_leaf"": 10}",,0.9354329709246939
gram|F48,RandomForest,2,"{""max_depth"": 12, ""min_samples_leaf"": 30}",,0.9312448774282143
gram|F48,LightGBM,0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 100, ""num_leaves"": 127, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",374.0,0.9658620845827617
gram|F48,LightGBM,1,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""min_child_samples"": 100, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 0.85}",601.0,0.965398822487235
gram|F48,LightGBM,2,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""min_child_samples"": 20, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",540.0,0.9651563961459502
gram|F48,LightGBM,3,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""min_child_samples"": 50, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 0.7}",504.0,0.9649461664235455
gram|F48,LightGBM,4,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""min_child_samples"": 50, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",1782.0,0.9656169069951637
gram|F48,LightGBM,5,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""min_child_samples"": 100, ""num_leaves"": 63, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",242.0,0.9651166063596464
gram|F48,LightGBM,6,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""min_child_samples"": 100, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.85}",1784.0,0.9654428787483289
gram|F48,LightGBM,7,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""num_leaves"": 63, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",1146.0,0.9661747814890432
gram|F48,XGBoost,0,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 1, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",1267.0,0.9659522852259911
gram|F48,XGBoost,1,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 1, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",1038.0,0.9662317855760979
gram|F48,XGBoost,2,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 5, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",1999.0,0.9612423407995435
gram|F48,XGBoost,3,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 5, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",2000.0,0.9621737477718012
gram|F48,XGBoost,4,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",1998.0,0.9619207914438537
gram|F48,XGBoost,5,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 5, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",1999.0,0.9619402516310082
gram|F48,XGBoost,6,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 5, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",2000.0,0.9614005462588204
gram|F48,XGBoost,7,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 5, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",1640.0,0.9651992388055093
gram|F48,XGBoost,8,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 10, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",1344.0,0.9644064596326046
gram|F48,XGBoost,9,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 1.0}",2000.0,0.9609660959206568
gram|F48,XGBoost,10,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 10, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",614.0,0.965124345942406
