split,case,url,y_true,y_pred,score,top_shap_ngrams,lexical
GB,TP,http://login.apk-mfacebook.ml/login.php,1,1,1.0,.ml/(+1.3162); .ml(+1.0061); ml/(+0.5493); /log(+0.5091); apk(-0.5036); gin.(+0.4626); .apk(-0.4481); ogin.(+0.4324),url_len=39; n_digits=0; n_susp_tokens=3; digit_ratio=0; char_entropy=4.1; n_subdomains=2; n_hyphens=1; tld_suspicious=1
GB,TP,https://asvimed.it/frd/Office36555555/Validation,1,1,1.0,5(+0.4356); /o(+0.4153); d/(+0.3996); valid(+0.3448); asv(+0.3197); /of(+0.3084); v(+0.3034); 5555(+0.2879),url_len=48; n_digits=8; n_susp_tokens=0; digit_ratio=0.167; char_entropy=4.23; n_subdomains=1; n_hyphens=0; tld_suspicious=0
GB,FP,https://etsy.app.link/z6151dAHTX,0,1,1.0,k/(+0.4480); .app(+0.4360); .link(+0.4338); pp(+0.3781); link(+0.3681); p.l(+0.3613); .app.(+0.3246); z6(+0.2989),url_len=32; n_digits=4; n_susp_tokens=0; digit_ratio=0.125; char_entropy=4.37; n_subdomains=2; n_hyphens=0; tld_suspicious=1
GB,FP,https://www.netangels.ru/out/?url=Z0FBQUFBQmJfU0pJUFExN3BCNXI3YUQ4VkdVZGVsM1BGRjFZUmVWMGZkQjR1SWw4SGc3Mm4yLWFpZ2UzWTNLX0p4SkJpZHlyVndGV0xmdmxYSzNlMjd1ek5iNTBRcWVlSTMxbzZWcGg2dS04WU,0,1,1.0,fb(+0.4458); x(+0.3594); q(+0.3556); v(+0.3062); bg(+0.2450); z(+0.2324); /o(+0.2283); fbg(+0.2128),url_len=194; n_digits=24; n_susp_tokens=0; digit_ratio=0.124; char_entropy=5.57; n_subdomains=1; n_hyphens=0; tld_suspicious=0
GB,FN,http://www.baseball.deals/2018/06/06/2018-top-5-youth-usa-aluminum-bat-review/,1,0,0.0,201(-0.4633); /20(-0.4474); /06/(-0.3221); /2(-0.3174); /201(-0.2948); als/(-0.2592); -(-0.2487); w/(+0.2353),url_len=78; n_digits=13; n_susp_tokens=0; digit_ratio=0.167; char_entropy=4.54; n_subdomains=1; n_hyphens=7; tld_suspicious=0
GB,FN,http://www.fst-dynamo-kyiv.org/news/230-chempionat-kmo-fst-dinamo-ukrajini-z-legkoatletichnogo-krosu-2018/,1,0,0.0,/news(-0.4365); -k(-0.3523); news(-0.3122); o-(-0.2937); ews(-0.2825); -(-0.2822); 201(-0.2550); fst(-0.2321),url_len=106; n_digits=7; n_susp_tokens=0; digit_ratio=0.066; char_entropy=4.67; n_subdomains=1; n_hyphens=11; tld_suspicious=0
GB,TN,http://www.cuisine-etudiante.fr/page/2/,0,0,0.0,ge/2(-0.5825); page/(-0.5698); age/2(-0.5410); ge/2/(-0.4557); e/2/(-0.4309); e/2(-0.3552); /2(-0.3148); e-(-0.2311),url_len=39; n_digits=1; n_susp_tokens=0; digit_ratio=0.0256; char_entropy=4.08; n_subdomains=1; n_hyphens=1; tld_suspicious=0
GB,TN,http://www.glowkitchen.com/2015/05/spring-broccoli-peas-coconut-curry/#more-11805,0,0,0.0,#(-0.5828); /#(-0.3764); 201(-0.2766); /20(-0.2670); -(-0.2186); 5(+0.2161); /2(-0.1873); .glo(-0.1810),url_len=81; n_digits=11; n_susp_tokens=0; digit_ratio=0.136; char_entropy=4.6; n_subdomains=1; n_hyphens=5; tld_suspicious=0
PP2026,FP-transfer,www.paypal.com/pay/billing,0,1,1.0,pay(+1.2737); bill(+0.6429); ypal(+0.5161); payp(+0.5140); paypa(+0.5114); aypal(+0.4839); aypa(+0.4565); billi(+0.4331),url_len=26; n_digits=0; n_susp_tokens=2; digit_ratio=0; char_entropy=3.66; n_subdomains=1; n_hyphens=0; tld_suspicious=0
PP2026,FP-transfer,www.amazon.com/dp/b07mbc77kk/ref,0,1,1.0,maz(+0.4945); k/(+0.4708); azon(+0.4513); mbc(+0.4301); mazon(+0.4214); mazo(+0.4107); p/(+0.4024); dp/(+0.3672),url_len=32; n_digits=4; n_susp_tokens=1; digit_ratio=0.125; char_entropy=4.03; n_subdomains=1; n_hyphens=0; tld_suspicious=0
PP2026,FN-transfer,https://www.xwcbblog.com,1,0,0.0,blog(-1.2618); xw(-0.7512); blo(-0.6098); blog.(-0.5093); s://w(-0.5081); b(+0.4860); x(+0.4502); w.x(-0.3993),url_len=24; n_digits=0; n_susp_tokens=0; digit_ratio=0; char_entropy=3.75; n_subdomains=1; n_hyphens=0; tld_suspicious=0
PP2026,FN-transfer,https://www.c-and-a-sk.sk,1,0,0.0,-(-0.5214); -a-(-0.4784); a-(-0.4507); -and-(-0.4411); -and(-0.4328); s://w(-0.4324); k(+0.4306); -s(-0.3963),url_len=25; n_digits=0; n_susp_tokens=0; digit_ratio=0; char_entropy=3.67; n_subdomains=1; n_hyphens=3; tld_suspicious=0
