test,model_a,model_b,metric,estimate,ci_low,ci_high,p_value,p_holm,significant_0.05
bootstrap CI (95%),LogReg(C=4.0),,accuracy,0.974797,0.974,0.9756,,,
bootstrap CI (95%),LogReg(C=4.0),,precision,0.982483,0.9816,0.9833,,,
bootstrap CI (95%),LogReg(C=4.0),,recall,0.966814,0.9656,0.9681,,,
bootstrap CI (95%),LogReg(C=4.0),,f1,0.974586,0.9738,0.9754,,,
bootstrap CI (95%),LogReg(C=4.0),,mcc,0.949715,0.9482,0.9512,,,
bootstrap CI (95%),LogReg(C=4.0),,balanced_acc,0.974794,0.974,0.9756,,,
bootstrap CI (95%),LogReg(C=4.0),,roc_auc,0.9963743516474236,0.9962,0.9966,,,
bootstrap CI (95%),LogReg(C=1.0),,accuracy,0.970139,0.9693,0.971,,,
bootstrap CI (95%),LogReg(C=1.0),,precision,0.981143,0.9801,0.9821,,,
bootstrap CI (95%),LogReg(C=1.0),,recall,0.958683,0.9573,0.9602,,,
bootstrap CI (95%),LogReg(C=1.0),,f1,0.969783,0.9689,0.9707,,,
bootstrap CI (95%),LogReg(C=1.0),,mcc,0.940525,0.9388,0.9423,,,
bootstrap CI (95%),LogReg(C=1.0),,balanced_acc,0.970135,0.9693,0.971,,,
bootstrap CI (95%),LogReg(C=1.0),,roc_auc,0.9953271522365934,0.9951,0.9956,,,
bootstrap CI (95%),LinearSVM-SGD(alpha=1e-05),,accuracy,0.969508,0.9687,0.9704,,,
bootstrap CI (95%),LinearSVM-SGD(alpha=1e-05),,precision,0.984097,0.9832,0.985,,,
bootstrap CI (95%),LinearSVM-SGD(alpha=1e-05),,recall,0.954418,0.953,0.9558,,,
bootstrap CI (95%),LinearSVM-SGD(alpha=1e-05),,f1,0.96903,0.9682,0.9699,,,
bootstrap CI (95%),LinearSVM-SGD(alpha=1e-05),,mcc,0.939442,0.9378,0.9411,,,
bootstrap CI (95%),LinearSVM-SGD(alpha=1e-05),,balanced_acc,0.969503,0.9687,0.9703,,,
bootstrap CI (95%),LinearSVM-SGD(alpha=1e-05),,roc_auc,0.994765041107414,0.9945,0.995,,,
McNemar exact (best vs other),LogReg(C=4.0),LogReg(C=1.0),accuracy discordance,"b=1035,c=290",,,0.0,0.0,True
paired bootstrap AUC diff,LogReg(C=4.0),LogReg(C=1.0),roc_auc difference,0.001,0.001,0.0011,0.0,0.0,True
McNemar exact (best vs other),LogReg(C=4.0),LinearSVM-SGD(alpha=1e-05),accuracy discordance,"b=1352,c=506",,,0.0,0.0,True
paired bootstrap AUC diff,LogReg(C=4.0),LinearSVM-SGD(alpha=1e-05),roc_auc difference,0.0016,0.0015,0.0017,0.0,0.0,True
