feature,perm_importance_mean,std
n_susp_tokens,0.04744,0.00192
n_hyphens,0.02243,0.00133
path_len,0.02118,0.00088
host_len,0.02062,0.00134
n_path_seg,0.0198,0.00096
n_dots,0.01799,0.00122
tld_suspicious,0.01654,0.00088
char_entropy,0.0146,0.0009
max_token_len,0.01384,0.00051
n_digits,0.01009,0.00064
n_slashes,0.00804,0.00042
n_equal,0.00749,0.00015
n_subdomains,0.00642,0.00038
n_amp,0.0051,9e-05
special_ratio,0.00441,0.00031
digit_ratio,0.00418,0.00028
has_ip,0.00334,0.00037
n_at,0.00285,0.00022
https,0.0028,0.00029
has_fragment,0.00253,0.00043
n_query_params,0.00242,0.00036
query_len,0.00239,0.0002
n_special,0.00195,0.00023
n_underscores,0.00161,0.00035
n_percent,0.00117,0.00027
url_len,0.00113,0.00013
n_unique_chars,0.00085,0.00023
n_question,0.00072,7e-05
susp_token_ratio,0.00057,0.00013
n_colons,0.00019,0.00014
has_port,0.0,0.0
