check,passed,detail
gram: archive checksum recorded,True,sha256=4a5572edeb3d37d7...
phresh: archive checksum recorded,True,sha256=8bef3edb9a095482...
gram: rows survive hygiene,True,"n=799,565  positive_rate=0.5000"
gram: both classes present,True,positive_rate=0.5000
phresh: rows survive hygiene,True,"n=666,300  positive_rate=0.4477"
phresh: both classes present,True,positive_rate=0.4477
gram: TRAIN/VAL/TEST row-disjoint,True,"train=559,696 val=119,935 test=119,934"
phresh: TRAIN/VAL/TEST row-disjoint,True,"train=410,315 val=87,925 test=168,060"
gram: splits are eTLD+1 domain-disjoint,True,"|train|=203,898 |val|=96,980 |test|=96,979 domains"
gram->phresh: strict-external rows >= gate minimum,True,"n=126,611 (min 5,000)"
gram->phresh: strict-external minority class >= gate minimum,True,"minority=62,466"
phresh->gram: strict-external rows >= gate minimum,True,"n=118,283 (min 5,000)"
phresh->gram: strict-external minority class >= gate minimum,True,"minority=58,498"
exact + canonical cross-dataset overlap audited,True,4 overlap rows recorded in Section 9
F48 has exactly 48 features,True,n=48
F54-R has exactly 54 features,True,n=54
F68-R has exactly 69 features (54 + 7 + 8),True,n=69
F68-R is the primary representation,True,PRIMARY_FSET=F68R
no PhishTank / LegitPhish in the primary path,True,"primary datasets = ['GramBeddings', 'PhreshPhish']"
PhreshPhish HTML never loaded,True,"modeling columns = ['url', 'label']"
no HTML/target/date/sha256 column is a model feature,True,117 feature columns screened
