feature,ks_stat,p_value
https,0.3864,0.0
path_len,0.193,0.0
n_path_seg,0.1618,3.367090984297967e-229
n_slashes,0.1608,3.191138985359102e-226
max_token_len,0.1563,7.93206393208094e-214
n_hyphens,0.1296,8.728377964504704e-147
special_ratio,0.1034,1.5326737460714958e-93
n_unique_chars,0.1031,4.326879646479252e-93
susp_token_ratio,0.102,4.958224618690116e-91
n_dots,0.0999,2.4854609597985106e-87
n_susp_tokens,0.0978,1.2680869563179232e-83
char_entropy,0.097,1.9623072368690865e-82
query_len,0.0963,3.6123671051235696e-81
n_subdomains,0.0949,7.810912919682533e-79
n_digits,0.0827,6.059312746323827e-60
digit_ratio,0.0808,2.623163330760505e-57
n_special,0.0745,1.0280180991785448e-48
url_len,0.0607,2.0305825912620404e-32
n_equal,0.0585,3.86976184086367e-30
n_query_params,0.0548,1.528341255400997e-26
n_amp,0.0531,6.02556091477834e-25
n_underscores,0.0294,6.07441077506328e-08
n_question,0.0285,1.6283431500111598e-07
n_colons,0.0249,8.088321372387772e-06
host_len,0.0236,2.8576659773038868e-05
n_percent,0.0217,0.0001671688010044229
has_fragment,0.0175,0.004173966005125513
tld_suspicious,0.0164,0.009120880237928885
has_ip,0.0094,0.33159910109593727
n_at,0.0037,0.9988872972545972
has_port,0.0,1.0
