criterion,passed,blocking,detail
C1 valid two-class labels [gram],True,True,"GramBeddings: benign=399,815 phishing=399,750"
C2 URL quality [gram],True,True,0 unusable URLs survived the audit (must be 0)
C1 valid two-class labels [phresh],True,True,"PhreshPhish: benign=367,989 phishing=298,311"
C2 URL quality [phresh],True,True,0 unusable URLs survived the audit (must be 0)
C2b structural missingness repaired,True,True,0 NaN in mean_path_segment_length (structural absence must encode as 0.0)
C3 overlap quantified,True,True,exact_raw_string=90; canonical_scheme_aware=136; canonical_scheme_agnostic=210; registered_domain=10156
C4 strict external size [GramBeddings -> PhreshPhish],True,True,"126,611 records, minority class 62,466 (need >= 5,000 / 500)"
C4 strict external size [PhreshPhish -> GramBeddings],True,True,"118,283 records, minority class 58,498 (need >= 5,000 / 500)"
C5 identical feature schema,True,True,"164 common columns; F48=48, F54-R=54"
C6 URL-only modelling,True,True,forbidden-derived feature columns: none
C7 benchmark completed,True,True,36 benchmark rows
C8 external ranking above chance,True,True,best Gram->Phresh strict-external ROC-AUC in the benchmark = 0.8197 (need >= 0.6)
C9 non-degenerate external errors,True,True,"best-model external error rate = 0.3098 (ERS/DTS need error variation; allowed band [0.005, 0.6])"
C10 no target-dataset fitting,True,True,ledger shows no fitting step on a combined/target dataset (origin diagnostic is marked diagnostic_only)
C11 origin separability not pathological,True,True,origin tier 'high' (AUC 0.9279) with best external ROC-AUC 0.8197
