index,feature,group,type,definition,parser_source,expected_range,notes,schema_version
1,body_is_https,H: domain-invariant (new in F60-R),binary,1 if 'https' occurs (case-insensitively) as a substring of u_body,body/host,"{0,1}",concept of HTTPS without the scheme syntax,trac-phish-f68r-v1.0
2,host_entropy_ratio,H: domain-invariant (new in F60-R),ratio,host_entropy / log2(hostname_length); 0.0 when hostname_length <= 1,body/host,"[0, 1]",length-normalised host entropy,trac-phish-f68r-v1.0
3,path_token_ratio,H: domain-invariant (new in F60-R),continuous,body_token_count / (path_slash_count + 1),body/host,"[0, inf)",token density per path segment,trac-phish-f68r-v1.0
4,digit_alpha_ratio,H: domain-invariant (new in F60-R),continuous,body_digit_count / (body_letter_count + 1),body/host,"[0, inf)",relative digit vs letter usage,trac-phish-f68r-v1.0
5,subdomain_binary,H: domain-invariant (new in F60-R),binary,1 if subdomain_depth > 0,body/host,"{0,1}",binary form of subdomain_depth,trac-phish-f68r-v1.0
6,has_port_binary,H: domain-invariant (new in F60-R),binary,1 if the authority contains a ':' port delimiter,body/host,"{0,1}","DUPLICATE of R_explicit_port by definition; retained for fidelity to the plan, reported as redundant",trac-phish-f68r-v1.0
7,query_present,H: domain-invariant (new in F60-R),binary,1 if query_length > 0,body/host,"{0,1}",binary form of query_length,trac-phish-f68r-v1.0
8,body_scheme_ratio,"H2: domain-invariant (new in F68-R, revision 6)",ratio,"(1 if 'https' in body.lower() else 0) / max(1, body_token_count)",body/host,"[0, 1]",normalised form of body_is_https; not a raw count,trac-phish-f68r-v1.0
9,host_tld_class,"H2: domain-invariant (new in F68-R, revision 6)",categorical,"0 = common ICANN gTLD (.com/.org/.net), 1 = 2-letter ccTLD, 2 = any other suffix, 3 = IP host or no public suffix",body/host,"{0,1,2,3}",coarse suffix class; distribution-stable across modern URL corpora,trac-phish-f68r-v1.0
10,path_depth_binary,"H2: domain-invariant (new in F68-R, revision 6)",binary,1 if the number of non-empty path segments >= 2,body/host,"{0,1}","binarised structural depth, robust to path-length shift",trac-phish-f68r-v1.0
11,has_query_binary,"H2: domain-invariant (new in F68-R, revision 6)",binary,1 if query_length > 0,body/host,"{0,1}",binarised query presence (plan Blocker-7 table); definitionally equals query_present and is reported by the redundancy audit as such,trac-phish-f68r-v1.0
12,host_entropy_norm_z,"H2: domain-invariant (new in F68-R, revision 6)",continuous,"host Shannon entropy, z-scored with SOURCE-TRAIN mean/std registered by the Phase-1 gate (raw entropy until the gate runs)",body/host,"(-inf, inf)","shift-robust by construction; for tree models it is an affine copy of host entropy, which the redundancy audit reports",trac-phish-f68r-v1.0
13,path_token_density,"H2: domain-invariant (new in F68-R, revision 6)",continuous,"body_token_count / max(path_length, 1)",body/host,"[0, inf)","ratio, not a raw length",trac-phish-f68r-v1.0
14,digit_run_max,"H2: domain-invariant (new in F68-R, revision 6)",count,length of the longest run of consecutive digits anywhere in the URL,body/host,"[0, inf)","structural, dataset-invariant",trac-phish-f68r-v1.0
15,brand_tld_match,"H2: domain-invariant (new in F68-R, revision 6)",binary,1 if a brand-vocabulary term occurs in the host AND a brand term occurs in the body,body/host,"{0,1}",semantic-invariance check across host/body,trac-phish-f68r-v1.0
